,F,F,F,p,p,p,η²p,η²p,η²p
Effect,mt,mt * pg,pg,mt,mt * pg,pg,mt,mt * pg,pg
outcome,,,,,,,,,
ARAT Δ,5.623644377803344,4.911908793609331,7.92241769321252,0.02025309486498658,0.029664044805429658,0.006214217680592697,0.06889724687829096,0.060706870803637354,0.09440168563987009
BI Δ,0.8573743922204214,3.580226904376013,0.0016207455429497568,0.3574055024079422,0.062279968871748845,0.9679926235984664,0.01115539528900698,0.04498890042972648,2.1325144477853838e-05
FMA Distal Δ,6.094944159852365,8.129816411594383,4.498965923191956,0.01580285083847724,0.005603797443582483,0.037176377778953065,0.07424262507547975,0.09663418700238564,0.055888493368779935
FMA Proximal Δ,2.0882343800180263,1.2284542148828652,0.685186528121665,0.15254825179543055,0.2712031172699928,0.4103981896266533,0.02674198484057905,0.015906756484660122,0.008935057201307012
FMA Total Δ,4.389295349669593,4.317925882592912,2.395630236576852,0.03949671659920999,0.041089732899389254,0.1258290090228004,0.0546004953840864,0.05376042564775349,0.0305582113358549
