A,B,mean_A,mean_B,diff,se,T,p_tukey,hedges
MT,MtPg,6.6,17.95,-11.35,3.1905081265000965,-3.557427077438806,0.0035587859845409575,-0.9354782593285549
MT,PG,6.6,7.6,-1.0,3.1905081265000965,-0.31342969845275825,0.98924967482245,-0.11390568201605644
MT,Sham,6.6,6.25,0.34999999999999964,3.1905081265000965,0.10970039445846529,0.9995234129405822,0.045558175390576404
MtPg,PG,17.95,7.6,10.35,3.1905081265000965,3.243997378986048,0.009302358052951543,0.8370120795683399
MtPg,Sham,17.95,6.25,11.7,3.1905081265000965,3.6671274718972717,0.0025043075628425893,1.007536395640557
PG,Sham,7.6,6.25,1.3499999999999996,3.1905081265000965,0.42313009291122355,0.974359585267253,0.1678107701908055
