A,B,mean_A,mean_B,diff,se,T,p_tukey,hedges
MT,MtPg,4.1,11.25,-7.15,2.033566998365705,-3.5159893948643757,0.0040559430100366445,-0.9860135739826709
MT,PG,4.1,3.6,0.49999999999999956,2.033566998365705,0.2458733842562498,0.9947339650128163,0.0965703854916222
MT,Sham,4.1,4.65,-0.5500000000000007,2.033566998365705,-0.2704607226818754,0.9930252870054334,-0.0996365144445573
MtPg,PG,11.25,3.6,7.65,2.033566998365705,3.7618627791206256,0.0018378724317927864,1.0257255122145346
MtPg,Sham,11.25,4.65,6.6,2.033566998365705,3.2455286721825,0.009260302400877829,0.8571597553766659
PG,Sham,3.6,4.65,-1.0500000000000003,2.033566998365705,-0.5163341069381252,0.954940458029345,-0.18138046139713124
